Date,Time,Temp °C,SpCond µS/cm
4/16/19,6:00:00,3.146,52.3
4/16/19,7:00:00,3.105,52.3
4/16/19,8:00:00,3.117,52.3
4/16/19,9:00:00,3.199,52.3
4/16/19,10:00:00,3.252,52.2
4/16/19,11:00:00,3.392,52.3
4/16/19,12:00:00,3.503,52.2
4/16/19,13:00:00,3.786,52.2
4/16/19,14:00:00,3.919,52.2
4/16/19,15:00:00,4.156,52.2
4/16/19,16:00:00,4.335,52.2
4/16/19,17:00:00,4.431,52.2
4/16/19,18:00:00,4.439,52.3
4/16/19,19:00:00,4.425,52.3
4/16/19,20:00:00,4.37,52.3
4/16/19,21:00:00,4.296,52.4
4/16/19,22:00:00,4.216,52.4
4/16/19,23:00:00,4.117,52.5
4/17/19,0:00:00,3.994,52.5
4/17/19,1:00:00,3.864,52.5
4/17/19,2:00:00,3.766,52.5
4/17/19,3:00:00,3.688,52.5
4/17/19,4:00:00,3.622,52.3
4/17/19,5:00:00,3.571,52.2
4/17/19,6:00:00,3.524,52
4/17/19,7:00:00,3.496,51.9
4/17/19,8:00:00,3.5,51.8
4/17/19,9:00:00,3.574,51.8
4/17/19,10:00:00,3.689,51.7
4/17/19,11:00:00,3.832,51.6
4/17/19,12:00:00,4.076,51.6
4/17/19,13:00:00,4.313,51.6
4/17/19,14:00:00,4.486,51.5
4/17/19,15:00:00,4.61,51.4
4/17/19,16:00:00,4.695,51.3
4/17/19,17:00:00,4.74,51.3
4/17/19,18:00:00,4.724,51.2
4/17/19,19:00:00,4.667,51.1
4/17/19,20:00:00,4.587,51.1
4/17/19,21:00:00,4.494,50.8
4/17/19,22:00:00,4.391,50.7
4/17/19,23:00:00,4.278,50.6
4/18/19,0:00:00,4.173,50.4
4/18/19,1:00:00,4.064,50.2
4/18/19,2:00:00,3.961,50
4/18/19,3:00:00,3.87,49.8
4/18/19,4:00:00,3.78,49.6
4/18/19,5:00:00,3.707,49.4
4/18/19,6:00:00,3.654,49.3
4/18/19,7:00:00,3.64,49.2
4/18/19,8:00:00,3.673,49.1
4/18/19,9:00:00,3.713,48.9
4/18/19,10:00:00,3.805,48.8
4/18/19,11:00:00,3.903,48.6
4/18/19,12:00:00,4.083,48.5
4/18/19,13:00:00,4.246,48.3
4/18/19,14:00:00,4.412,48.1
4/18/19,15:00:00,4.535,47.8
4/18/19,16:00:00,4.591,47.5
4/18/19,17:00:00,4.579,47.1
4/18/19,18:00:00,4.563,46.6
4/18/19,19:00:00,4.506,45.9
4/18/19,20:00:00,4.395,44.9
4/18/19,21:00:00,4.247,43.6
4/18/19,22:00:00,4.075,42.1
4/18/19,23:00:00,3.892,40.5
4/19/19,0:00:00,3.725,39.3
4/19/19,1:00:00,3.568,38.4
4/19/19,2:00:00,3.434,37.6
4/19/19,3:00:00,3.301,36.9
4/19/19,4:00:00,3.178,36.1
4/19/19,5:00:00,3.072,35.5
4/19/19,6:00:00,2.995,35.4
4/19/19,7:00:00,2.955,35.8
4/19/19,8:00:00,2.939,36.3
4/19/19,9:00:00,2.943,36.8
4/19/19,10:00:00,3.036,37.2
4/19/19,11:00:00,3.2,37.7
4/19/19,12:00:00,3.339,38.2
4/19/19,13:00:00,3.498,38.6
4/19/19,14:00:00,3.636,39.1
4/19/19,15:00:00,3.769,39.5
4/19/19,16:00:00,3.79,39.9
4/19/19,17:00:00,3.902,40.3
4/19/19,18:00:00,4.005,40.8
4/19/19,19:00:00,4.079,41.1
4/19/19,20:00:00,4.043,41.5
4/19/19,21:00:00,3.904,41.8
4/19/19,22:00:00,3.76,42.1
4/19/19,23:00:00,3.622,42.4
4/20/19,0:00:00,3.497,42.7
4/20/19,1:00:00,3.387,43
4/20/19,2:00:00,3.28,43.2
4/20/19,3:00:00,3.193,43.5
4/20/19,4:00:00,3.12,43.8
4/20/19,5:00:00,3.069,44
