,Discharge.stage@Herbert River,Discharge.stage@Herbert River,Discharge.stage@Herbert River,Discharge.stage@Herbert River
mm/dd/yyyy HH:MM:SS,ft^3/s,,,
Date-Time,Value,Grade,Approval,Interpolation Code
05/22/2019 15:15:00,1323.4781739151,,0,1
05/22/2019 15:30:00,1336.99430848871,,0,1
05/22/2019 15:45:00,1310.01167669324,,0,1
05/22/2019 16:00:00,1330.23004531927,,0,1
05/22/2019 16:15:00,1330.23004531927,,0,1
05/22/2019 16:30:00,1330.23004531927,,0,1
05/22/2019 16:45:00,1364.17493061915,,0,1
05/22/2019 17:00:00,1357.36127428748,,0,1
05/22/2019 17:15:00,1371.00089216677,,0,1
05/22/2019 17:30:00,1391.55243777397,,0,1
05/22/2019 17:45:00,1350.5599403222,,0,1
05/22/2019 18:00:00,1350.5599403222,,0,1
05/22/2019 18:15:00,1391.55243777397,,0,1
05/22/2019 18:30:00,1398.42745024094,,0,1
05/22/2019 18:45:00,1426.04953988164,,0,1
05/22/2019 19:00:00,1364.17493061915,,0,1
05/22/2019 19:15:00,1364.17493061915,,0,1
05/22/2019 19:30:00,1377.83914185833,,0,1
05/22/2019 19:45:00,1398.42745024094,,0,1
05/22/2019 20:00:00,1405.31468333645,,0,1
05/22/2019 20:15:00,1398.42745024094,,0,1
05/22/2019 20:30:00,1377.83914185833,,0,1
05/22/2019 20:45:00,1364.17493061915,,0,1
05/22/2019 21:00:00,1377.83914185833,,0,1
05/22/2019 21:15:00,1384.6896626997,,0,1
05/22/2019 21:30:00,1364.17493061915,,0,1
05/22/2019 21:45:00,1364.17493061915,,0,1
05/22/2019 22:00:00,1377.83914185833,,0,1
05/22/2019 22:15:00,1364.17493061915,,0,1
05/22/2019 22:30:00,1343.77094595287,,0,1
05/22/2019 22:45:00,1350.5599403222,,0,1
05/22/2019 23:00:00,1364.17493061915,,0,1
05/22/2019 23:15:00,1371.00089216677,,0,1
05/22/2019 23:30:00,1371.00089216677,,0,1
05/22/2019 23:45:00,1371.00089216677,,0,1
05/23/2019 00:00:00,1343.77094595287,,0,1
05/23/2019 00:15:00,1336.99430848871,,0,1
05/23/2019 00:30:00,1343.77094595287,,0,1
05/23/2019 00:45:00,1343.77094595287,,0,1
05/23/2019 01:00:00,1323.4781739151,,0,1
05/23/2019 01:15:00,1310.01167669324,,0,1
