,Discharge.2018@Berners Bay,Discharge.2018@Berners Bay,Discharge.2018@Berners Bay,Discharge.2018@Berners Bay
mm/dd/yyyy HH:MM:SS,m^3/s,,,
Date-Time,Value,Grade,Approval,Interpolation Code
03/03/2019 04:15:00,2.08583844694178,,0,1
03/03/2019 04:30:00,2.06087634027389,,0,1
03/03/2019 04:45:00,2.10088667853727,,0,1
03/03/2019 05:00:00,2.10088667853727,,0,1
03/03/2019 05:15:00,2.06585693261181,,0,1
03/03/2019 05:30:00,2.09586468790314,,0,1
03/03/2019 05:45:00,2.06087634027389,,0,1
03/03/2019 06:00:00,2.08083419706878,,0,1
03/03/2019 06:15:00,2.08583844694178,,0,1
03/03/2019 06:30:00,2.09586468790314,,0,1
03/03/2019 06:45:00,2.07583586123752,,0,1
03/03/2019 07:00:00,2.06585693261181,,0,1
03/03/2019 07:15:00,2.09084861062899,,0,1
03/03/2019 07:30:00,2.08083419706878,,0,1
03/03/2019 07:45:00,2.04597005390495,,0,1
03/03/2019 08:00:00,2.05093290069132,,0,1
03/03/2019 08:15:00,2.04597005390495,,0,1
03/03/2019 08:30:00,2.05093290069132,,0,1
03/03/2019 08:45:00,2.04597005390495,,0,1
03/03/2019 09:00:00,2.04101312276116,,0,1
03/03/2019 09:15:00,2.07583586123752,,0,1
03/03/2019 09:30:00,2.06585693261181,,0,1
03/03/2019 09:45:00,2.06087634027389,,0,1
03/03/2019 10:00:00,2.07084343967582,,0,1
03/03/2019 10:15:00,2.06087634027389,,0,1
03/03/2019 10:30:00,2.03606210748981,,0,1
03/03/2019 10:45:00,2.05590166289073,,0,1
03/03/2019 11:00:00,2.04101312276116,,0,1
03/03/2019 11:15:00,2.03606210748981,,0,1
03/03/2019 11:30:00,2.02617782548531,,0,1
03/03/2019 11:45:00,2.07583586123752,,0,1
03/03/2019 12:00:00,2.06087634027389,,0,1
03/03/2019 12:15:00,2.05590166289073,,0,1
03/03/2019 12:30:00,2.06087634027389,,0,1
03/03/2019 12:45:00,2.05093290069132,,0,1
03/03/2019 13:00:00,2.04101312276116,,0,1
03/03/2019 13:15:00,2.03606210748981,,0,1
03/03/2019 13:30:00,2.04101312276116,,0,1
03/03/2019 13:45:00,2.02124455921333,,0,1
03/03/2019 14:00:00,2.02617782548531,,0,1
03/03/2019 14:15:00,2.03111700832105,,0,1
03/03/2019 14:30:00,2.02617782548531,,0,1
03/03/2019 14:45:00,2.04101312276116,,0,1
03/03/2019 15:00:00,2.03111700832105,,0,1
03/03/2019 15:15:00,2.04597005390495,,0,1
03/03/2019 15:30:00,2.02124455921333,,0,1
03/03/2019 15:45:00,2.03111700832105,,0,1
03/03/2019 16:00:00,2.04101312276116,,0,1
03/03/2019 16:15:00,2.02124455921333,,0,1
03/03/2019 16:30:00,2.03111700832105,,0,1
03/03/2019 16:45:00,2.02124455921333,,0,1
03/03/2019 17:00:00,2.03606210748981,,0,1
03/03/2019 17:15:00,2.00648026209172,,0,1
03/03/2019 17:30:00,2.02617782548531,,0,1
03/03/2019 17:45:00,2.02617782548531,,0,1
03/03/2019 18:00:00,2.02124455921333,,0,1
03/03/2019 18:15:00,2.01631720973614,,0,1
03/03/2019 18:30:00,2.01139577728506,,0,1
03/03/2019 18:45:00,1.99176922237872,,0,1
03/03/2019 19:00:00,2.02617782548531,,0,1
03/03/2019 19:15:00,2.00648026209172,,0,1
03/03/2019 19:30:00,2.00648026209172,,0,1
03/03/2019 19:45:00,2.00157066438801,,0,1
03/03/2019 20:00:00,2.00648026209172,,0,1
03/03/2019 20:15:00,2.02124455921333,,0,1
03/03/2019 20:30:00,2.02124455921333,,0,1
03/03/2019 20:45:00,1.99666698440618,,0,1
03/03/2019 21:00:00,2.01139577728506,,0,1
03/03/2019 21:15:00,2.01631720973614,,0,1
03/03/2019 21:30:00,1.99666698440618,,0,1
03/03/2019 21:45:00,2.01631720973614,,0,1
03/03/2019 22:00:00,1.98687737853844,,0,1
03/03/2019 22:15:00,2.00157066438801,,0,1
03/03/2019 22:30:00,2.01139577728506,,0,1
03/03/2019 22:45:00,1.98687737853844,,0,1
03/03/2019 23:00:00,1.99176922237872,,0,1
03/03/2019 23:15:00,2.00157066438801,,0,1
03/03/2019 23:30:00,1.99176922237872,,0,1
03/03/2019 23:45:00,1.96250694031439,,0,1
03/04/2019 00:00:00,1.97711144635222,,0,1
03/04/2019 00:15:00,1.98199145311847,,0,1
03/04/2019 00:30:00,2.00157066438801,,0,1
03/04/2019 00:45:00,1.98687737853844,,0,1
03/04/2019 01:00:00,1.98199145311847,,0,1
03/04/2019 01:15:00,1.99666698440618,,0,1
03/04/2019 01:30:00,1.96736918971601,,0,1
